Time	Coop	Chea
38.869435	5.526580	4.180845
38.919460	5.542018	4.192524
38.969485	5.556060	4.203147
39.019510	5.568827	4.212805
39.069535	5.580429	4.221581
39.119560	5.590968	4.229554
39.169585	5.600538	4.236794
39.219610	5.609225	4.243366
39.269635	5.617108	4.249330
39.319660	5.624260	4.254740
39.369685	5.630747	4.259647
39.419710	5.636629	4.264097
39.469735	5.641961	4.268131
39.519760	5.646795	4.271788
39.569785	5.651176	4.275101
39.619810	5.655145	4.278104
39.669835	5.658741	4.280825
39.719860	5.661999	4.283289
39.769885	5.664950	4.285522
39.819910	5.667622	4.287543
39.869935	5.670043	4.289374
39.919960	5.672234	4.291032
39.969985	5.674219	4.292534
40.020010	0.567422	0.429253
40.070035	0.620621	0.469498
40.120060	0.678147	0.513017
40.170085	0.740228	0.559981
40.220110	0.807077	0.610552
40.270135	0.878892	0.664880
40.320160	0.955848	0.723097
40.370185	1.038088	0.785311
40.420210	1.125723	0.851607
40.470235	1.218819	0.922034
40.520260	1.317393	0.996605
40.570285	1.421407	1.075291
40.620310	1.530761	1.158017
40.670335	1.645287	1.244656
40.720360	1.764748	1.335028
40.770385	1.888837	1.428901
40.820410	2.017170	1.525984
40.870435	2.149296	1.625938
40.920460	2.284698	1.728369
40.970485	2.422798	1.832841
41.020510	2.562969	1.938880
41.070535	2.704543	2.045981
41.120560	2.846825	2.153616
41.170585	2.989105	2.261251
41.220610	3.130675	2.368349
41.270635	3.270840	2.474383
41.320660	3.408932	2.578849
41.370685	3.544323	2.681272
41.420710	3.676437	2.781216
41.470735	3.804756	2.878289
41.520760	3.928828	2.972150
41.570785	4.048273	3.062509
41.620810	4.162781	3.149135
41.670835	4.272116	3.231846
41.720860	4.376111	3.310518
41.770885	4.474666	3.385075
41.820910	4.567743	3.455487
41.870935	4.655359	3.521768
41.920960	4.737580	3.583969
41.970985	4.814517	3.642171
42.021011	4.886314	3.696486
42.071036	4.953146	3.747044
42.121061	5.015211	3.793995
42.171086	5.072722	3.837502
42.221111	5.125905	3.877736
42.271136	5.174996	3.914873
42.321161	5.220230	3.949092
42.371186	5.261845	3.980573
42.421211	5.300073	4.009493
42.471236	5.335143	4.036024
42.521261	5.367277	4.060333
42.571286	5.396687	4.082581
42.621311	5.423576	4.102923
42.671336	5.448136	4.121503
42.721361	5.470551	4.138460
42.771386	5.490992	4.153923
42.821411	5.509618	4.168013
42.871436	5.526580	4.180845
42.921461	5.542018	4.192524
42.971486	5.556060	4.203147
43.021511	5.568827	4.212805
43.071536	5.580429	4.221581
43.121561	5.590968	4.229554
43.171586	5.600538	4.236794
43.221611	5.609225	4.243366
43.271636	5.617108	4.249330
43.321661	5.624260	4.254740
43.371686	5.630747	4.259647
43.421711	5.636629	4.264097
43.471736	5.641961	4.268131
43.521761	5.646795	4.271788
43.571786	5.651176	4.275101
43.621811	5.655145	4.278104
43.671836	5.658741	4.280825
43.721861	5.661999	4.283289
43.771886	5.664950	4.285522
43.821911	5.667622	4.287543
43.871936	5.670043	4.289374
43.921961	5.672234	4.291032
43.971986	5.674219	4.292534
44.022011	0.567422	0.429253
44.072036	0.620621	0.469498
44.122061	0.678147	0.513017
44.172086	0.740228	0.559981
44.222111	0.807077	0.610552
44.272136	0.878892	0.664880
44.322161	0.955848	0.723097
44.372186	1.038088	0.785311
44.422211	1.125723	0.851607
44.472236	1.218819	0.922034
44.522261	1.317393	0.996605
44.572286	1.421407	1.075291
44.622311	1.530761	1.158017
44.672336	1.645287	1.244656
44.722361	1.764748	1.335028
44.772386	1.888837	1.428901
44.822411	2.017170	1.525984
44.872436	2.149296	1.625938
44.922461	2.284698	1.728369
44.972486	2.422798	1.832841
45.022511	2.562969	1.938880
45.072536	2.704543	2.045981
45.122561	2.846825	2.153616
45.172586	2.989105	2.261251
45.222611	3.130676	2.368349
45.272636	3.270840	2.474383
45.322661	3.408932	2.578849
45.372686	3.544323	2.681272
45.422711	3.676437	2.781216
45.472736	3.804756	2.878289
45.522761	3.928828	2.972150
45.572786	4.048273	3.062509
45.622811	4.162781	3.149135
45.672836	4.272116	3.231846
45.722861	4.376111	3.310518
45.772886	4.474666	3.385075
45.822911	4.567743	3.455487
45.872936	4.655359	3.521768
45.922961	4.737580	3.583969
45.972986	4.814517	3.642171
46.023012	4.886314	3.696486
46.073037	4.953146	3.747044
46.123062	5.015211	3.793995
46.173087	5.072722	3.837502
46.223112	5.125905	3.877736
46.273137	5.174996	3.914873
46.323162	5.220230	3.949092
46.373187	5.261845	3.980573
